src_id,src_lang,tgt_lang
500,,"yu ' y en q o nu d nu n    nu xem lai xem minh da la ch6 dua virng chac chua. Trong tinh yeu, phu nu gap nguoi dan ong manh me thi ty tr? nen yeu duoi va nguoc lai. Mot nguoi phu ntr tr? nen manh me boi vi ho khong c6 duoc sy bao ve va quan tam can thiet. Mot nguoi phu nr c6 du tinh yeu va cam giac an toan se khong phai gong len nhur chuan bi chien dau, p p na    n  go t o a n"
501,懂得让步的人是聪明的，这是把决定事态走向的主动权握在了自己手 上。感情对抗战中，赢了面子就输了情分。往往死撑到底的人，都成孤家 寡人。弯腰不是认输，只是为了拾起丢掉的幸福。,"Nguoi thong minh la nguoi biet lui buoc, dieu nay khien ban nam duoc quyen ueq 'ueo yun uahnyo guoi Xen guon oaa ns eno p guony quip haanb guop nyo thang thi mat tinh, nguoi nao cang c6 tranh gianh phan thang thi ket qua cubi cung des snud quy uea nno eu lo eu jes uuu eud suou nep i 'uop o uau on nan mat ma thoi."
502,说到底，女人还是要自强：不容易生病的身体、够用的收入、养心的 爱好、强大的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等 的基础。自己穿暖才是真暖，自己真暖之后才有资格相互温暖。,"Suy cho cung, phu nu van can tu lap, can co surc khoe tot, thu nhap du tieu thu vui rieng cua ban than va mot the gioi nh? bé nhung manh me. C6 duoc nhung thu nay khong phai de bien thanh nguoi dan ba sat ma de c6 co so de tao nen sy binh dang. Ban than mac am moi goi la am thyc su, ban than phai yeu moi c6 tu cach lam am trai tim nguroi khac"
503,感情就是这样，没有失去你不会成熟，生活也是这样，没有遇到点险 恶，你不会长大。你想要的，老天不一定会给你，你只有努力去争取，别 辜负爱你的人，别辜负你自己。,"Tinh cam la nhu vay d6, khong danh mat thi khong the trurong thanh. Cuoc q nu  i  o  ou y  an d   nu a o sn muon, ong troi chua chac da cho ban. Ban chi c6 the co gang ma gianh lay, dirng phu nhtrng nguroi yeu ban va cuing dirng phu chinh ban than minh, ban nhé."
504,能打动我的从来不是花言巧语，而是恰到好处的温柔以及真挚的内心。,Thur thyrc su lay dong trai tim em khong phai la nhtrng loi noi durong mat ma la su quan tam dung muc va trai tim chan thanh cua anh.
505,这世上最难堪的事不是他不爱你，而是他说很爱很爱你，最后却轻易 地放弃了你。,ban rat nhieu rat nhieu nhung den cu?i cung lai de dang buong tay ban chi trong mot not nhac.
506,所谓白头到老，没什么秘诀。只是在相爱时，存下点感动；在冷战 时，懂一些感恩。,"Song voi nhau den dau bac rang long khong can bi kip gi het, chi can khi yeu nhau gio lai chut cam dong va luc chien tranh lanh thi luon nghi den viéc biet on doi phuong. Hai nguoi ? ben nhau dung nen trach doi phuong khong du quan tam, khong lang man, khong chu dong. Hai nguoi von la hai ca the rieng biet, co dung hoa the nao cung khong the bien thanh mot nguoi duoc. Vi the chi can them mot chut nhan nai, mot chut tinh y, biet cam on va biet hai long, co the ban se nhan ra doi phuong dang dung cach cua ban than de bay to tinh yeu. Hanh phuc thuc sy khong kh6 khan va kh6 doan nhu ban nghi dau."
507,两个人在一起了，就不要老是抱怨另一半的不贴心、不浪漫、不主 动。你们本就是两个独立的个体，再融合也不会变成一个人。所以，有一 点耐心，加一点细心，再学会感恩和知足，你可能会发现对方只是在用自 己的方式对你表达爱意，幸福真的没有那么难。,
508,应该去喜欢能让你觉得自己很美好，由衷感受到温暖的人。而不是让 你低到尘埃里，觉得自己很没用的人。,"Nen yeu nguoi khien ban cam thay minh rat tot dep va cam thay am ap ti tan day long chu khong phai nguoi day ban xuong vung bun nho nhop, khien ban cam thay ban than that vo dung va ngu si."
509,你走不进那个人的心里，不一定是你不够努力，而是那个人也不断在 加固心里的那堵墙。,c gang ma do nguoi kia khong nging gia c6 burc tuong bao ve trong trai tim ho.
